windspeed,date
1.336028925,2021-08-18 15:00:00
1.211132479,2021-08-18 16:00:00
1.250394244,2021-08-18 17:00:00
1.339502896,2021-08-18 18:00:00
1.389088673,2021-08-18 19:00:00
1.488316129,2021-08-18 20:00:00
1.885066902,2021-08-18 21:00:00
2.252991661,2021-08-18 22:00:00
2.232432008,2021-08-18 23:00:00
1.88547527,2021-08-19 00:00:00
1.712319886,2021-08-19 01:00:00
1.721097019,2021-08-19 02:00:00
2.01244024,2021-08-19 03:00:00
2.251936399,2021-08-19 04:00:00
2.146701585,2021-08-19 05:00:00
2.425514505,2021-08-19 06:00:00
2.367204222,2021-08-19 07:00:00
21.841156199738,2021-08-19 08:00:00
2.525327587,2021-08-19 09:00:00
2.295160177,2021-08-19 10:00:00
2.123517085,2021-08-19 11:00:00
2.136496883,2021-08-19 12:00:00
2.167780125,2021-08-19 13:00:00
2.153238128,2021-08-19 14:00:00
1.824784167,2021-08-19 15:00:00
1.783811971,2021-08-19 16:00:00
1.208813828,2021-08-19 17:00:00
1.826244666,2021-08-19 18:00:00
2.112742034,2021-08-19 19:00:00
2.596097666,2021-08-19 20:00:00
3.105165338,2021-08-19 21:00:00
3.15716029,2021-08-19 22:00:00
3.003801421,2021-08-19 23:00:00
3.162820526,2021-08-20 00:00:00
3.126967315,2021-08-20 01:00:00
2.906026865,2021-08-20 02:00:00
2.852336902,2021-08-20 03:00:00
2.740852408,2021-08-20 04:00:00
2.577006541,2021-08-20 05:00:00
2.58226411,2021-08-20 06:00:00
2.585651784,2021-08-20 07:00:00
1.033163391,2021-08-20 08:00:00
1.89397196,2021-08-20 09:00:00
2.50303818,2021-08-20 10:00:00
2.324391659,2021-08-20 11:00:00
2.866636117,2021-08-20 12:00:00
2.771357075,2021-08-20 13:00:00
2.929511958,2021-08-20 14:00:00
2.604232849,2021-08-20 15:00:00
2.007225801,2021-08-20 16:00:00
1.562011123,2021-08-20 17:00:00
1.629636856,2021-08-20 18:00:00
1.651830576,2021-08-20 19:00:00
1.757630182,2021-08-20 20:00:00
2.548699424,2021-08-20 21:00:00
2.359861159,2021-08-20 22:00:00
2.149942049,2021-08-20 23:00:00
2.072048358,2021-08-21 00:00:00
2.124688405,2021-08-21 01:00:00
2.716046842,2021-08-21 02:00:00
3.23835929,2021-08-21 03:00:00
3.063258237,2021-08-21 04:00:00
1.912793904,2021-08-21 05:00:00
2.618187051,2021-08-21 06:00:00
2.781659693,2021-08-21 07:00:00
2.964074824,2021-08-21 08:00:00
3.186235973,2021-08-21 09:00:00
3.274838298,2021-08-21 10:00:00
3.302352689,2021-08-21 11:00:00
2.986368874,2021-08-21 12:00:00
2.807485111,2021-08-21 13:00:00
2.308148047,2021-08-21 14:00:00
1.767793045,2021-08-21 15:00:00
1.390312713,2021-08-21 16:00:00
0.814402776,2021-08-21 17:00:00
1.140403884,2021-08-21 18:00:00
1.23094133,2021-08-21 19:00:00
1.208831363,2021-08-21 20:00:00
1.278707745,2021-08-21 21:00:00
1.426637673,2021-08-21 22:00:00
1.618494668,2021-08-21 23:00:00
1.420104524,2021-08-22 00:00:00
1.45950712,2021-08-22 01:00:00
1.836304362,2021-08-22 02:00:00
1.325570184,2021-08-22 03:00:00
1.322341451,2021-08-22 04:00:00
1.785150118,2021-08-22 05:00:00
2.146259838,2021-08-22 06:00:00
2.362633584,2021-08-22 07:00:00
2.644425931,2021-08-22 08:00:00
2.063357612,2021-08-22 09:00:00
1.444205845,2021-08-22 10:00:00
2.299539236,2021-08-22 11:00:00
2.833373933,2021-08-22 12:00:00
2.980910057,2021-08-22 13:00:00
3.349367531,2021-08-22 14:00:00
3.205532331,2021-08-22 15:00:00
3.041803891,2021-08-22 16:00:00
3.142604078,2021-08-22 17:00:00
2.708728162,2021-08-22 18:00:00
3.101264293,2021-08-22 19:00:00
3.692871697,2021-08-22 20:00:00
3.685448118,2021-08-22 21:00:00
3.899716106,2021-08-22 22:00:00
3.488411406,2021-08-22 23:00:00
3.253875202,2021-08-23 00:00:00
3.253377914,2021-08-23 01:00:00
3.045523668,2021-08-23 02:00:00
2.862432367,2021-08-23 03:00:00
2.837959835,2021-08-23 04:00:00
2.999522237,2021-08-23 05:00:00
3.272983094,2021-08-23 06:00:00
3.087599658,2021-08-23 07:00:00
3.073476992,2021-08-23 08:00:00
3.119717744,2021-08-23 09:00:00
3.613412796,2021-08-23 10:00:00
4.276089458,2021-08-23 11:00:00
4.252410425,2021-08-23 12:00:00
4.279210149,2021-08-23 13:00:00
3.619763225,2021-08-23 14:00:00
3.623106439,2021-08-23 15:00:00
2.645401814,2021-08-23 16:00:00
1.927802629,2021-08-23 17:00:00
2.101057552,2021-08-23 18:00:00
2.39408154,2021-08-23 19:00:00
3.100233195,2021-08-23 20:00:00
3.835818475,2021-08-23 21:00:00
3.545866855,2021-08-23 22:00:00
3.158718049,2021-08-23 23:00:00
3.595991813,2021-08-24 00:00:00
3.782938617,2021-08-24 01:00:00
3.379738994,2021-08-24 02:00:00
3.212016507,2021-08-24 03:00:00
2.95361606,2021-08-24 04:00:00
2.002220791,2021-08-24 05:00:00
2.572367607,2021-08-24 06:00:00
3.150056475,2021-08-24 07:00:00
3.409441526,2021-08-24 08:00:00
3.459801609,2021-08-24 09:00:00
3.636863117,2021-08-24 10:00:00
3.409798205,2021-08-24 11:00:00
2.96332122,2021-08-24 12:00:00
2.623262971,2021-08-24 13:00:00
2.125173798,2021-08-24 14:00:00
1.588626774,2021-08-24 15:00:00
1.732399067,2021-08-24 16:00:00
1.27646754,2021-08-24 17:00:00
0.822677713,2021-08-24 18:00:00
0.418408886,2021-08-24 19:00:00
0.041619513,2021-08-24 20:00:00
0.155918509,2021-08-24 21:00:00
0.661131249,2021-08-24 22:00:00
1.501186483,2021-08-24 23:00:00
1.815125069,2021-08-25 00:00:00
1.736247257,2021-08-25 01:00:00
1.635412167,2021-08-25 02:00:00
1.908899645,2021-08-25 03:00:00
1.877402575,2021-08-25 04:00:00
1.978357928,2021-08-25 05:00:00
2.134523724,2021-08-25 06:00:00
2.545727534,2021-08-25 07:00:00
2.995230508,2021-08-25 08:00:00
2.972926808,2021-08-25 09:00:00
2.702932683,2021-08-25 10:00:00
2.601258006,2021-08-25 11:00:00
2.711718131,2021-08-25 12:00:00
2.717998087,2021-08-25 13:00:00
2.454565661,2021-08-25 14:00:00
2.664849327,2021-08-25 15:00:00
1.898833234,2021-08-25 16:00:00
1.299206797,2021-08-25 17:00:00
1.742762081,2021-08-25 18:00:00
2.03819775,2021-08-25 19:00:00
2.110656332,2021-08-25 20:00:00
2.070054173,2021-08-25 21:00:00
1.866879779,2021-08-25 22:00:00
1.627132296,2021-08-25 23:00:00
1.795278918,2021-08-26 00:00:00
1.783342138,2021-08-26 01:00:00
1.816656607,2021-08-26 02:00:00
1.829953748,2021-08-26 03:00:00
1.26830222,2021-08-26 04:00:00
1.010339995,2021-08-26 05:00:00
0.570675769,2021-08-26 06:00:00
0.522746982,2021-08-26 07:00:00
0.308924904,2021-08-26 08:00:00
0.363043589,2021-08-26 09:00:00
0.771520127,2021-08-26 10:00:00
1.329280986,2021-08-26 11:00:00
1.356835204,2021-08-26 12:00:00
1.342987138,2021-08-26 13:00:00
1.718583198,2021-08-26 14:00:00
1.683829328,2021-08-26 15:00:00
0.40467398,2021-08-26 16:00:00
2.431945008,2021-08-26 17:00:00
3.297405145,2021-08-26 18:00:00
2.849551787,2021-08-26 19:00:00
2.552410769,2021-08-26 20:00:00
2.457055432,2021-08-26 21:00:00
2.382158048,2021-08-26 22:00:00
2.357763213,2021-08-26 23:00:00
2.180069804,2021-08-27 00:00:00
1.720733224,2021-08-27 01:00:00
1.296609723,2021-08-27 02:00:00
1.257570581,2021-08-27 03:00:00
2.007022218,2021-08-27 04:00:00
2.730684392,2021-08-27 05:00:00
2.963292937,2021-08-27 06:00:00
2.776985373,2021-08-27 07:00:00
2.654235553,2021-08-27 08:00:00
2.829641808,2021-08-27 09:00:00
2.779579934,2021-08-27 10:00:00
2.512544057,2021-08-27 11:00:00
2.022179463,2021-08-27 12:00:00
1.711772422,2021-08-27 13:00:00
1.788083868,2021-08-27 14:00:00
2.369153477,2021-08-27 15:00:00
2.312983304,2021-08-27 16:00:00
1.655280792,2021-08-27 17:00:00
1.271449579,2021-08-27 18:00:00
0.916754361,2021-08-27 19:00:00
1.05373154,2021-08-27 20:00:00
1.023824579,2021-08-27 21:00:00
1.220136916,2021-08-27 22:00:00
1.314218251,2021-08-27 23:00:00
1.226438433,2021-08-28 00:00:00
1.069732432,2021-08-28 01:00:00
1.226903262,2021-08-28 02:00:00
1.47373071,2021-08-28 03:00:00
1.683215675,2021-08-28 04:00:00
1.323656842,2021-08-28 05:00:00
1.620551506,2021-08-28 06:00:00
1.568990987,2021-08-28 07:00:00
0.64986167,2021-08-28 08:00:00
0.755835182,2021-08-28 09:00:00
1.382505297,2021-08-28 10:00:00
1.898915666,2021-08-28 11:00:00
2.275160661,2021-08-28 12:00:00
1.96719676,2021-08-28 13:00:00
1.891516294,2021-08-28 14:00:00
1.740747936,2021-08-28 15:00:00
1.509975358,2021-08-28 16:00:00
1.597742506,2021-08-28 17:00:00
1.761524244,2021-08-28 18:00:00
1.900871409,2021-08-28 19:00:00
1.682747394,2021-08-28 20:00:00
1.464086935,2021-08-28 21:00:00
1.406208113,2021-08-28 22:00:00
1.395496043,2021-08-28 23:00:00
1.446430798,2021-08-29 00:00:00
1.741906687,2021-08-29 01:00:00
2.00575668,2021-08-29 02:00:00
2.219201281,2021-08-29 03:00:00
2.356756447,2021-08-29 04:00:00
2.529027136,2021-08-29 05:00:00
2.640352144,2021-08-29 06:00:00
2.497333944,2021-08-29 07:00:00
2.409362554,2021-08-29 08:00:00
2.295936617,2021-08-29 09:00:00
2.235459032,2021-08-29 10:00:00
2.325052641,2021-08-29 11:00:00
2.233478932,2021-08-29 12:00:00
2.000574729,2021-08-29 13:00:00
1.650100239,2021-08-29 14:00:00
1.482698773,2021-08-29 15:00:00
3.227043484,2021-08-29 16:00:00
2.214708126,2021-08-29 17:00:00
1.996673116,2021-08-29 18:00:00
